lemma,ngsl_rank,sfi,adjusted_frequency_per_million,hai_familiarity_band
sheet,1616,56.94,49,f
engine,1617,56.94,49,f
cast,1618,56.93,49,f
notion,1619,56.93,49,f
conservative,1620,56.93,49,f
journey,1621,56.92,49,f
opposition,1622,56.92,49,f
relief,1623,56.92,49,f
debt,1624,56.92,49,f
honor,1625,56.91,49,f
outcome,1626,56.89,49,f
blame,1627,56.89,49,f
explanation,1628,56.89,49,f
arise,1629,56.89,49,f
musical,1630,56.88,49,f
recover,1631,56.87,49,f
dad,1632,56.87,49,f
stretch,1633,56.87,49,f
declare,1634,56.86,49,f
retire,1635,56.86,48,f
tiny,1636,56.85,48,f
careful,1637,56.84,48,f
suitable,1638,56.84,48,f
native,1639,56.84,48,f
fruit,1640,56.84,48,f
analyze,1641,56.83,48,f
witness,1642,56.83,48,f
mail,1643,56.83,48,f
terrible,1644,56.83,48,f
researcher,1645,56.82,48,f
ordinary,1646,56.8,48,f
selection,1647,56.78,48,f
anywhere,1648,56.78,48,f
mental,1649,56.78,48,f
participant,1650,56.77,48,f
vision,1651,56.76,47,f
personality,1652,56.76,47,f
specifically,1653,56.76,47,f
fat,1654,56.75,47,f
entry,1655,56.75,47,f
fellow,1656,56.75,47,f
chemical,1657,56.75,47,f
capture,1658,56.75,47,f
tip,1659,56.74,47,f
discount,1660,56.74,47,f
peak,1661,56.74,47,f
chairman,1662,56.73,47,f
proportion,1663,56.73,47,f
ear,1664,56.72,47,f
disappear,1665,56.71,47,f
shout,1666,56.71,47,f
yard,1667,56.71,47,f
constant,1668,56.71,47,f
significantly,1669,56.69,47,f
hill,1670,56.67,46,f
considerable,1671,56.67,46,f
instruction,1672,56.67,46,f
intelligence,1673,56.67,46,f
ideal,1674,56.66,46,f
folk,1675,56.66,46,f
surely,1676,56.66,46,f
guard,1677,56.66,46,f
cat,1678,56.65,46,f
somewhat,1679,56.65,46,f
kiss,1680,56.64,46,f
presentation,1681,56.64,46,f
